"clusters","features","logFC","pvalues","pct.1","pct.2","datasets"
"CellType1","g1",-1.37464937456163,3.97262664495284e-117,0.02,0.28,"Mo"
"CellType2","HKG-19",-0.0315718055077436,0.007684240609231,1,1,"Mo"
"CellType2","HKG-43",-0.0299050284643991,0.0209000064727743,1,1,"Mo"
"CellType1","HKG-3",-0.0296872123013863,0.0256408598834926,1,1,"Mo"
"CellType1","HKG-46",-0.0283191069193043,0.0290183764450668,1,1,"Mo"
"CellType1","HKG-38",-0.0320021898060681,0.037251004168455,1,1,"Mo"
"CellType2","HKG-23",-0.0202756334000691,0.064996898925031,1,1,"Mo"
"CellType1","HKG-9",-0.0187741644553316,0.0899450345375271,1,1,"Mo"
"CellType2","HKG-22",-0.0246977681946765,0.0942947300884294,1,1,"Mo"
"CellType1","HKG-29",-0.0172923841134436,0.107324561228221,1,1,"Mo"
"CellType1","HKG-5",-0.0143984652403626,0.129235101825927,1,1,"Mo"
"CellType2","HKG-1",-0.0136022055284002,0.145564892445332,1,1,"Mo"
"CellType2","HKG-9",-0.0131507941385784,0.151434164900523,1,1,"Mo"
"CellType1","HKG-36",-0.0230943170959632,0.154419737497804,1,1,"Mo"
"CellType2","HKG-40",-0.0190651114328988,0.166407517984935,1,1,"Mo"
"CellType2","HKG-47",-0.015486565880102,0.247545966645479,1,1,"Mo"
"CellType2","HKG-26",-0.00997280566822134,0.258463799773488,1,1,"Mo"
"CellType2","HKG-32",-0.0103344606088909,0.262909021559172,1,1,"Mo"
"CellType2","HKG-5",-0.0170494916346255,0.273963681737475,1,1,"Mo"
"CellType2","HKG-12",-0.0148232365781418,0.276717319361498,1,1,"Mo"
"CellType1","HKG-32",-0.0149824630446043,0.294201455268996,1,1,"Mo"
"CellType2","HKG-45",-0.0158986023346506,0.297941592719648,1,1,"Mo"
"CellType1","HKG-42",-0.0133998164171238,0.329728932366169,1,1,"Mo"
"CellType2","HKG-34",-0.00811463892037878,0.404770004232616,1,1,"Mo"
"CellType1","HKG-16",-0.0118449824834901,0.417298594125979,1,1,"Mo"
"CellType1","HKG-14",-0.0185647298499063,0.454229154917524,1,1,"Mo"
"CellType1","g4",-0.0202983616533432,0.47428632478012,0.746,0.754,"Mo"
"CellType1","HKG-1",-0.0174870242459866,0.477734272965662,1,1,"Mo"
"CellType1","HKG-26",-0.0108127118982893,0.483125311781754,1,1,"Mo"
"CellType2","HKG-4",-0.00568029902122635,0.488772698800348,1,1,"Mo"
"CellType1","HKG-10",-0.00601252835524502,0.50398433035477,1,1,"Mo"
"CellType1","HKG-24",-0.00359457294150811,0.534492394090142,1,1,"Mo"
"CellType1","HKG-31",-0.00907465220871551,0.568650927750822,1,1,"Mo"
"CellType1","HKG-12",-0.00483587927564688,0.572110299102379,1,1,"Mo"
"CellType2","HKG-15",-0.00565885122883447,0.629316830945211,1,1,"Mo"
"CellType2","HKG-27",-0.0097982932936711,0.669335135795622,1,1,"Mo"
"CellType2","HKG-33",-0.00479565217580813,0.67570908216131,1,1,"Mo"
"CellType2","HKG-38",-0.00803496579547058,0.709958441011598,1,1,"Mo"
"CellType2","g6",-0.0145606202083959,0.716347025602086,0.18,0.184,"Mo"
"CellType2","HKG-48",-0.00626314424661256,0.729305935549377,1,1,"Mo"
"CellType1","HKG-21",-0.00593864976240788,0.77007025773944,1,1,"Mo"
